Name,GUID,Undefined,IsUserSpecific,Test
Programs,de61d971-5ebc-4f02-a3a9-6c82895e5c04,TRUE,FALSE,FALSE
AdminTools,724EF170-A42D-4FEF-9F26-B60E846FBA4F,FALSE,TRUE,TRUE
AppUpdates,a305ce99-f527-492b-8b1a-7e76fa98d6e4,TRUE,FALSE,FALSE
CDBurning,9E52AB10-F80D-49DF-ACB8-4330F5687855,FALSE,TRUE,TRUE
ChangeRemovePrograms,df7266ac-9274-4867-8d55-3bd661de872d,TRUE,FALSE,FALSE
CommonAdminTools,D0384E7D-BAC3-4797-8F14-CBA229B392B5,FALSE,FALSE,TRUE
CommonOEMLinks,C1BAE2D0-10DF-4334-BEDD-7AA20B227A9D,FALSE,FALSE,TRUE
CommonPrograms,0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8,FALSE,FALSE,TRUE
CommonStartMenu,A4115719-D62E-491D-AA7C-E74B8BE3B067,FALSE,FALSE,TRUE
CommonStartup,82A5EA35-D9CD-47C5-9629-E15D2F714E6E,FALSE,FALSE,TRUE
CommonTemplates,B94237E7-57AC-4347-9151-B08C6C32D1F7,FALSE,FALSE,TRUE
ComputerFolder,0AC0837C-BBF8-452A-850D-79D08E667CA7,TRUE,FALSE,FALSE
ConflictFolder,4bfefb45-347d-4006-a5be-ac0cb0567192,TRUE,FALSE,FALSE
ConnectionsFolder,6F0CD92B-2E97-45D1-88FF-B0D186B8DEDD,TRUE,FALSE,FALSE
Contacts,56784854-C6CB-462b-8169-88E350ACB882,FALSE,TRUE,TRUE
ControlPanelFolder,82A74AEB-AEB4-465C-A014-D097EE346D63,TRUE,FALSE,FALSE
Cookies,2B0F765D-C0E9-4171-908E-08A611B84FF6,FALSE,TRUE,TRUE
Desktop,B4BFCC3A-DB2C-424C-B029-7FE99A87C641,FALSE,TRUE,TRUE
Documents,FDD39AD0-238F-46AF-ADB4-6C85480369C7,FALSE,TRUE,TRUE
Downloads,374DE290-123F-4565-9164-39C4925E467B,FALSE,TRUE,TRUE
Favorites,1777F761-68AD-4D8A-87BD-30B759FA33DD,FALSE,TRUE,TRUE
Fonts,FD228CB7-AE11-4AE3-864C-16F3910AB8FE,FALSE,FALSE,FALSE
Games,CAC52C1A-B53D-4edc-92D7-6B2E8AC19434,TRUE,FALSE,FALSE
GameTasks,054FAE61-4DD8-4787-80B6-090220C4B700,FALSE,TRUE,FALSE
History,D9DC8A3B-B784-432E-A781-5A1130A75963,FALSE,TRUE,TRUE
InternetCache,352481E8-33BE-4251-BA85-6007CAEDCF9D,FALSE,TRUE,FALSE
InternetFolder,4D9F7874-4E0C-4904-967B-40B0D20C3E4B,TRUE,FALSE,FALSE
Links,bfb9d5e0-c6a9-404c-b2b2-ae6db6af4968,FALSE,TRUE,TRUE
LocalAppData,F1B32785-6FBA-4FCF-9D55-7B8E7F157091,FALSE,TRUE,FALSE
LocalAppDataLow,A520A1A4-1780-4FF6-BD18-167343C5AF16,FALSE,TRUE,FALSE
LocalizedResourcesDir,2A00375E-224C-49DE-B8D1-440DF7EF3DDC,TRUE,FALSE,FALSE
Music,4BD8D571-6D19-48D3-BE97-422220080E43,FALSE,TRUE,TRUE
NetHood,C5ABBF53-E17F-4121-8900-86626FC2C973,FALSE,TRUE,FALSE
NetworkFolder,D20BEEC4-5CA8-4905-AE3B-BF251EA09B53,TRUE,FALSE,FALSE
OriginalImages,2C36C0AA-5812-4b87-BFD0-4CD0DFB19B39,TRUE,FALSE,FALSE
PhotoAlbums,69D2CF90-FC33-4FB7-9A0C-EBB0F0FCB43C,TRUE,FALSE,FALSE
Pictures,33E28130-4E1E-4676-835A-98395C3BC3BB,FALSE,TRUE,TRUE
Playlists,DE92C1C7-837F-4F69-A3BB-86E631204A23,TRUE,FALSE,FALSE
PrintersFolder,76FC4E2D-D6AD-4519-A663-37BD56068185,TRUE,FALSE,FALSE
PrintHood,9274BD8D-CFD1-41C3-B35E-B13F55A758F4,FALSE,TRUE,FALSE
Profile,5E6C858F-0E22-4760-9AFE-EA3317B67173,FALSE,TRUE,FALSE
ProgramData,62AB5D82-FDC1-4DC3-A9DD-070D1D495D97,FALSE,FALSE,FALSE
ProgramFiles,905e63b6-c1bf-494e-b29c-65b732d3d21a,FALSE,FALSE,FALSE
ProgramFilesX64,6D809377-6AF0-444b-8957-A3773F02200E,TRUE,FALSE,FALSE
ProgramFilesX86,7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E,FALSE,FALSE,FALSE
ProgramFilesCommon,F7F1ED05-9F6D-47A2-AAAE-29D317C6F066,FALSE,FALSE,FALSE
ProgramFilesCommonX64,6365D5A7-0F0D-45E5-87F6-0DA56B6A4F7D,TRUE,FALSE,FALSE
ProgramFilesCommonX86,DE974D24-D9C6-4D3E-BF91-F4455120B917,FALSE,FALSE,FALSE
Programs,A77F5D77-2E2B-44C3-A6A2-ABA601054A51,FALSE,TRUE,TRUE
Public,DFDF76A2-C82A-4D63-906A-5644AC457385,FALSE,FALSE,FALSE
PublicDesktop,C4AA340D-F20F-4863-AFEF-F87EF2E6BA25,FALSE,FALSE,TRUE
PublicDocuments,ED4824AF-DCE4-45A8-81E2-FC7965083634,FALSE,FALSE,TRUE
PublicDownloads,3D644C9B-1FB8-4f30-9B45-F670235F79C0,FALSE,FALSE,TRUE
PublicGameTasks,DEBF2536-E1A8-4c59-B6A2-414586476AEA,FALSE,FALSE,TRUE
PublicMusic,3214FAB5-9757-4298-BB61-92A9DEAA44FF,FALSE,FALSE,TRUE
PublicPictures,B6EBFB86-6907-413C-9AF7-4FC2ABF07CC5,FALSE,FALSE,TRUE
PublicVideos,2400183A-6185-49FB-A2D8-4A392A602BA3,FALSE,FALSE,TRUE
QuickLaunch,52a4f021-7b75-48a9-9f6b-4b87a210bc8f,FALSE,TRUE,TRUE
Recent,AE50C081-EBD2-438A-8655-8A092E34987A,FALSE,TRUE,TRUE
RecycleBinFolder,B7534046-3ECB-4C18-BE4E-64CD4CB7D6AC,TRUE,FALSE,FALSE
ResourceDir,8AD10C31-2ADB-4296-A8F7-E4701232C972,FALSE,FALSE,FALSE
RoamingAppData,3EB685DB-65F9-4CF6-A03A-E3EF65729F3D,FALSE,TRUE,TRUE
SampleMusic,B250C668-F57D-4EE1-A63C-290EE7D1AA1F,TRUE,FALSE,FALSE
SamplePictures,C4900540-2379-4C75-844B-64E6FAF8716B,TRUE,FALSE,FALSE
SamplePlaylists,15CA69B3-30EE-49C1-ACE1-6B5EC372AFB5,TRUE,FALSE,FALSE
SampleVideos,859EAD94-2E85-48AD-A71A-0969CB56A6CD,TRUE,FALSE,FALSE
SavedGames,4C5C32FF-BB9D-43b0-B5B4-2D72E54EAAA4,FALSE,TRUE,FALSE
SavedSearches,7d1d3a04-debb-4115-95cf-2f29da2920da,FALSE,TRUE,FALSE
SEARCH_CSC,ee32e446-31ca-4aba-814f-a5ebd2fd6d5e,TRUE,FALSE,FALSE
SEARCH_MAPI,98ec0e18-2098-4d44-8644-66979315a281,TRUE,FALSE,FALSE
SearchHome,190337d1-b8ca-4121-a639-6d472d16972a,TRUE,FALSE,FALSE
SendTo,8983036C-27C0-404B-8F08-102D10DCFD74,FALSE,TRUE,TRUE
SidebarDefaultParts,7B396E54-9EC5-4300-BE0A-2482EBAE1A26,TRUE,FALSE,FALSE
SidebarParts,A75D362E-50FC-4fb7-AC2C-A8BEAA314493,TRUE,FALSE,FALSE
StartMenu,625B53C3-AB48-4EC1-BA1F-A1EF4146FC19,FALSE,TRUE,TRUE
Startup,B97D20BB-F46A-4C97-BA10-5E3608430854,FALSE,TRUE,TRUE
SyncManagerFolder,43668BF8-C14E-49B2-97C9-747784D784B7,TRUE,FALSE,FALSE
SyncResultsFolder,289a9a43-be44-4057-a41b-587a76d7e7f9,TRUE,FALSE,FALSE
SyncSetupFolder,0F214138-B1D3-4a90-BBA9-27CBC0C5389A,TRUE,FALSE,FALSE
System,1AC14E77-02E7-4E5D-B744-2EB1AE5198B7,FALSE,FALSE,FALSE
SystemX86,D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27,FALSE,FALSE,FALSE
Templates,A63293E8-664E-48DB-A079-DF759E0509F7,FALSE,TRUE,FALSE
TreeProperties,5b3749ad-b49f-49c1-83eb-15370fbd4882,TRUE,FALSE,FALSE
UserProfiles,0762D272-C50A-4BB0-A382-697DCD729B80,FALSE,FALSE,FALSE
UsersFiles,f3ce0f7c-4901-4acc-8648-d5d44b04ef8f,TRUE,FALSE,FALSE
Videos,18989B1D-99B5-455B-841C-AB7C74E4DDFC,FALSE,TRUE,TRUE
Windows,F38BF404-1D43-42F2-9305-67DE0B28FC23,FALSE,FALSE,FALSE
